material,r,V,p_int,q_int,recon,dissoc
carbon,0.8482795698924731,1.9191389378677675257915187220056078529788466784359919212516048861003375151928531E-18,0,0,0E-79,1
carbon,0.8497849462365592,1.9057545094562129271035592699903674785575752633188201997457130178405195563711799E-18,0,0,0E-79,1
carbon,0.8512903225806452,1.8924469477093641095019892341825633447996655594612836648474487002857767808137384E-18,0,0,0E-79,1
carbon,0.8527956989247312,1.8792158689252092326044817137283341746399165867388327203431226340182722663559926E-18,0,0,0E-79,1
carbon,0.8543010752688173,1.8660608912149083353588928293398643840400701626907837338561312538964964346001105E-18,0,0,0E-79,1
carbon,0.8558064516129033,1.8529816344944400490351880637245549869877169725936462501417851282506388973877123E-18,0,0,0E-79,1
carbon,0.8573118279569892,1.8399777204762675580126354432667646911660696552698977431407631195920435443292428E-18,0,0,0E-79,1
carbon,0.8588172043010753,1.8270487726610602681016646717018991100433859669530540830467071314354332694143137E-18,0,0,0E-79,1
carbon,0.8603225806451613,1.8141944163294558337668026967966419967905233752789265589999261325801358386050080E-18,0,0,0E-79,1
carbon,0.8618279569892473,1.8014142785338370054986799040836435048721777137603804531463658448262507899267369E-18,0,0,0E-79,1
carbon,0.8633333333333334,1.7887079880901667959048187356430325617297593688261780184626571232785332636429441E-18,0,0,0E-79,1
carbon,0.8648387096774194,1.7760751755698622381634417901125446293952119445311670197493025719312479172273615E-18,0,0,0E-79,1
carbon,0.8663440860215054,1.7635154732916817004477187458796793716924012915300903727132409306221530431314594E-18,0,0,0E-79,1
carbon,0.8678494623655915,1.7510285153136764667440337009907541915376949774252702788036458981739244500821000E-18,0,0,0E-79,1
carbon,0.8693548387096774,1.7386139374251672540628626297232414740169573851010417099583039304448273972260987E-18,0,0,0E-79,1
carbon,0.8708602150537634,1.7262713771387479881043332455953721015315490566514091244854927635401202412279716E-18,0,0,0E-79,1
carbon,0.8723655913978495,1.7140004736823475582748490544823029344136419687406974525783087142586152370174755E-18,0,0,0E-79,1
carbon,0.8738709677419355,1.7018008679913048234774692306655947377756078886472258413302182594616071378577342E-18,0,0,0E-79,1
carbon,0.8753763440860215,1.6896722027005011492780671950466465018330126179249254213712533680464818627055805E-18,0,0,0E-79,1
carbon,0.8768817204301076,1.6776141221365084284739085702175537989251516598559214016113432725541274129899282E-18,0,0,0E-79,1
carbon,0.8783870967741936,1.6656262723097913901311477544674860771603751088674320525181480480705336419270280E-18,0,0,0E-79,1
carbon,0.8798924731182796,1.6537083009069281875193402123892368135214428299082135702188402517512725823432928E-18,0,0,0E-79,1
carbon,0.8813978494623657,1.6418598572828814858132818480561416169887068531423699236150036453149926040586271E-18,0,0,0E-79,1
carbon,0.8829032258064516,1.6300805924533008800297296863755095621511178360434072617060515204563235748743940E-18,0,0,0E-79,1
carbon,0.8844086021505376,1.6183701590868438165324514934179773639166813497066116402101501194402503471207471E-18,0,0,0E-79,1
carbon,0.8859139784946237,1.6067282114975649988569426656032397356318187421444463214440042414418755632008841E-18,0,0,0E-79,1
carbon,0.8874193548387097,1.5951544056373049202799797628264006236878461804668943008897719620887772141679398E-18,0,0,0E-79,1
carbon,0.8889247311827957,1.5836483990881400599253313334362629544381490013528013250889207046698124671532918E-18,0,0,0E-79,1
carbon,0.8904301075268818,1.5722098510548498721037240925313391047339119320087098063778901109578182626206167E-18,0,0,0E-79,1
carbon,0.8919354838709678,1.5608384223574297298345209556211424722659587917038325753116405070545046509341306E-18,0,0,0E-79,1
carbon,0.8934408602150538,1.5495337754236289362118911499650549516547667012685369380173704209464542638820684E-18,0,0,0E-79,1
carbon,0.8949462365591399,1.5382955742815308507361384444239215690468184938274342162669741382796904268972949E-18,0,0,0E-79,1
carbon,0.8964516129032258,1.5271234845521640639968308023895675264820611732097739940572229334606253873082834E-18,0,0,0E-79,1
carbon,0.8979569892473118,1.5160171734421368638302365775917075707808596622706640287830137002642894052845088E-18,0,0,0E-79,1
carbon,0.8994623655913978,1.5049763097363299850347683100134444549250290190825762099921423955556960445408121E-18,0,0,0E-79,1
carbon,0.9009677419354839,1.4940005637905933436553357183715380309376893408914606638985303292711477570975940E-18,0,0,0E-79,1
carbon,0.9024731182795699,1.4830896075245003065874521804043020741348463598516086495460793579989319279876812E-18,0,0,0E-79,1
