material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,0.9551612903225807,1.1395858240597235356567747694057161373649866509413296331713313291017170520918909E-18,0,0,0E-79,1
carbon,6,0.9566666666666667,1.1308014106413778455501321953064254887604537161230485652022607387528987407139490E-18,0,0,0E-79,1
carbon,6,0.9581720430107528,1.1220706838383673269713821473075772407942326323478962380694672358826157939666397E-18,0,0,0E-79,1
carbon,6,0.9596774193548387,1.1133933699286907700589650722835907974292747509837845779245782180846446638029434E-18,0,0,0E-79,1
carbon,6,0.9611827956989247,1.1047691964954749527042444287096170299440033106112937429161995924829878142797008E-18,0,0,0E-79,1
carbon,6,0.9626881720430107,1.0961978924209377257784148564868914478962936707969725922867428819030606601902412E-18,0,0,0E-79,1
carbon,6,0.9641935483870968,1.0876791878803694544367421375260054618752936244785212243412136603054437628791134E-18,0,0,0E-79,1
carbon,6,0.9656989247311828,1.0792128143361482207216050063994229846458339249373660967249375069524851596233914E-18,0,0,0E-79,1
carbon,6,0.9672043010752689,1.0707985045317755787795019586070719713548157771153185780361243774446739331623910E-18,0,0,0E-79,1
carbon,6,0.9687096774193549,1.0624359924859479812827565831458899488609925252186480002854631674595991116682974E-18,0,0,0E-79,1
carbon,6,0.9702150537634409,1.0541250134866468810588287707043786309098055833971912212537636062036492028761180E-18,0,0,0E-79,1
carbon,6,0.9717204301075268,1.0458653040852625132110253993535267691524664621945946732586153475892424269104545E-18,0,0,0E-79,1
carbon,6,0.9732258064516129,1.0376566020907384460287417313221054456889282633547630361087549411280586683034525E-18,0,0,0E-79,1
carbon,6,0.9747311827956989,1.0294986465637516261376268220979407904192866748607582262753510061302697470510647E-18,0,0,0E-79,1
carbon,6,0.976236559139785,1.0213911778109075546404465673280031249943513141219735431804349958021317845467777E-18,0,0,0E-79,1
carbon,6,0.977741935483871,1.0133339373789728426812008645014263091925285268121259807528677588451482848498035E-18,0,0,0E-79,1
carbon,6,0.979247311827957,1.0053266680491254695177328205620127075201168341041107550564728862800486406537588E-18,0,0,0E-79,1
carbon,6,0.980752688172043,9.9736911383123722365321997241769606893890049880146087534352468490104138749398657E-19,0,0,0E-79,1
carbon,6,0.9822580645161291,9.8946101995817905045643155983208168453056021111134377891762125395594677091299976E-19,0,0,0E-79,1
carbon,6,0.983763440860215,9.8160213288015609162851593162408062397944947373640392794175665634427885582299278E-19,0,0,0E-79,1
carbon,6,0.9852688172043012,9.7379220025905972650293482389770676417695246951426843069662097526710533086775955E-19,0,0,0E-79,1
carbon,6,0.9867741935483871,9.6603097096286155332866195222020809288214106831340885332823826285512216680132213E-19,0,0,0E-79,1
carbon,6,0.9882795698924731,9.5831819506001222987462918179464106762496416350229934678244881704962606110366256E-19,0,0,0E-79,1
carbon,6,0.9897849462365591,9.5065362381388453172187895781699953657532478462932922909763626606741173777609655E-19,0,0,0E-79,1
carbon,6,0.9912903225806452,9.4303700967723045070746742462580371697340929724080421283638381519386979695430412E-19,0,0,0E-79,1
carbon,6,0.9927956989247312,9.3546810628666975137653931481849744479795578269136726880520775694026077942546921E-19,0,0,0E-79,1
carbon,6,0.9943010752688173,9.2794666845719765041867218167562762096332409963764271088269137413743219873962897E-19,0,0,0E-79,1
carbon,6,0.9958064516129033,9.2047245217672513263534111137665739607388518236499032694514638075996451217029717E-19,0,0,0E-79,1
carbon,6,0.9973118279569892,9.1304521460063719748913684272642408381053353007771911078602318767457230634912743E-19,0,0,0E-79,1
carbon,6,0.9988172043010752,9.0566471404637900371091730079272351473507967606269807914361455316614850503466215E-19,0,0,0E-79,1
carbon,6,1.0003225806451612,8.9833070998806918213756863671745348077079461114669525799637662709912221096913514E-19,0,0,0E-79,1
carbon,6,1.0018279569892474,8.9104296305113237592012188938638999500904768578545964451859475150949631653424827E-19,0,0,0E-79,1
