instance,row,col,x,y
u_spu26/node_259,47,57,0.38888888888888884,0.6851851851851851
u_spu26/node_260,52,57,0.38888888888888884,0.7592592592592592
u_spu26/node_261,47,62,0.42592592592592593,0.6851851851851851
u_spu26/node_262,50,62,0.42592592592592593,0.7222222222222222
u_spu26/node_263,52,62,0.42592592592592593,0.7592592592592592
u_spu26/node_264,54,53,0.35185185185185186,0.7962962962962962
u_spu26/node_265,56,53,0.35185185185185186,0.8333333333333331
u_spu26/node_266,59,53,0.35185185185185186,0.8703703703703702
u_spu26/node_267,54,57,0.38888888888888884,0.7962962962962962
u_spu26/node_268,59,57,0.38888888888888884,0.8703703703703702
u_spu26/node_269,54,62,0.42592592592592593,0.7962962962962962
u_spu26/node_270,56,62,0.42592592592592593,0.8333333333333331
u_spu26/node_271,59,62,0.42592592592592593,0.8703703703703702
u_spu26/node_272,61,53,0.35185185185185186,0.9074074074074073
u_spu26/node_273,63,53,0.35185185185185186,0.9444444444444443
u_spu26/node_274,62,52,0.35185185185185186,0.9814814814814814
u_spu26/node_275,61,57,0.38888888888888884,0.9074074074074073
u_spu26/node_276,63,57,0.38888888888888884,0.9814814814814814
u_spu26/node_277,61,62,0.42592592592592593,0.9074074074074073
u_spu26/node_278,63,62,0.42592592592592593,0.9444444444444443
u_spu26/node_279,62,61,0.42592592592592593,0.9814814814814814
u_spu26/node_280,47,67,0.4629629629629629,0.6851851851851851
u_spu26/node_281,50,67,0.4629629629629629,0.7222222222222222
u_spu26/node_282,52,67,0.4629629629629629,0.7592592592592592
u_spu26/node_283,47,72,0.5,0.6851851851851851
u_spu26/node_284,52,72,0.5,0.7592592592592592
u_spu26/node_285,47,76,0.537037037037037,0.6851851851851851
u_spu26/node_286,50,76,0.537037037037037,0.7222222222222222
u_spu26/node_287,52,76,0.537037037037037,0.7592592592592592
u_spu26/node_288,61,67,0.4629629629629629,0.9074074074074073
u_spu26/node_289,63,67,0.4629629629629629,0.9444444444444443
